scheduler,syntax,valid_scheduler,basic_run,retry_run,suspend_run,grouping,overcommit,priority_ordering,starvation,no_deadlock
scheduler_none_001.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_none_002.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_none_003.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_none_004.py,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
scheduler_none_005.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,no_batch_completions,batch_starvation,pass
scheduler_none_006.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,pass,pass
scheduler_none_007.py,pass,pass,pass,simulation_error,simulation_error,pass,pass,simulation_error,simulation_error,simulation_error
scheduler_none_008.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,pass
scheduler_none_009.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,pass
scheduler_none_010.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_none_011.py,pass,pass,pass,pass,no_suspend_usage,pass,pass,pass,batch_starvation,pass
scheduler_none_012.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,no_batch_completions,batch_starvation,pass
scheduler_none_013.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_none_014.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_batch_completions,batch_starvation,pass
scheduler_none_015.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,pass
scheduler_none_016.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_none_017.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_none_018.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,pass
scheduler_none_019.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_none_020.py,pass,pass,simulation_error,simulation_error,simulation_error,simulation_error,simulation_error,simulation_error,simulation_error,simulation_error
scheduler_none_021.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,simulation_error,simulation_error,simulation_error
scheduler_none_022.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,pass,batch_starvation,pass
scheduler_none_023.py,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
scheduler_none_024.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,no_query_completions,pass,pass
scheduler_none_025.py,pass,pass,pass,simulation_error,simulation_error,pass,pass,simulation_error,simulation_error,simulation_error
scheduler_none_026.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_none_027.py,pass,pass,simulation_error,simulation_error,simulation_error,simulation_error,overcommit_violation,simulation_error,simulation_error,simulation_error
scheduler_none_028.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_none_029.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_none_030.py,pass,pass,pass,pass,simulation_error,pass,pass,pass,batch_starvation,pass
scheduler_none_031.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_none_032.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,pass,pass
scheduler_none_033.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_none_034.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_none_035.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_none_036.py,pass,pass,simulation_error,simulation_error,simulation_error,simulation_error,simulation_error,simulation_error,simulation_error,deadlock
scheduler_none_037.py,pass,pass,pass,simulation_error,simulation_error,pass,pass,simulation_error,pass,pass
scheduler_none_038.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,simulation_error,simulation_error,simulation_error
scheduler_none_039.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_query_completions,batch_starvation,pass
scheduler_none_040.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,no_query_completions,batch_starvation,pass
scheduler_none_041.py,pass,pass,pass,pass,no_suspensions,pass,pass,pass,batch_starvation,pass
scheduler_none_042.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_none_043.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_none_044.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,no_query_completions,batch_starvation,pass
scheduler_none_045.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_none_046.py,pass,pass,pass,simulation_error,no_suspend_usage,pass,pass,no_batch_completions,batch_starvation,pass
scheduler_none_047.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,no_query_completions,batch_starvation,deadlock
scheduler_none_048.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,no_query_completions,pass,pass
scheduler_none_049.py,pass,pass,pass,simulation_error,no_suspensions,pass,pass,no_query_completions,pass,pass
scheduler_none_050.py,pass,pass,pass,simulation_error,simulation_error,pass,pass,simulation_error,pass,pass
